"ANO","PERIODO","CODIGO_COMPONENTE","CODIGO_TURMA","TOTAL","APROVADO","REPROVADO","DISPENSADO","TRANCADO","DESISTENCIA"
2021,2,"02762",LB3,34,25,7,0,1,1
2021,2,"02763",LB1,32,26,4,0,0,2
2021,2,"02763",LB3,32,25,6,0,1,0
2021,2,"02764",LB1,35,31,2,0,0,2
2021,2,"02764",LB3,28,22,0,0,2,4
2021,2,"02765",LB1,31,28,2,0,0,1
2021,2,"02765",LB3,33,25,6,0,1,1
2021,2,"02766",LB1,46,40,3,0,2,1
2021,2,"02766",LB3,41,38,2,0,1,0
2021,2,"02767",LB1,45,39,3,0,2,1
2021,2,"02767",LB3,42,37,4,0,1,0
2021,2,"02768",LB1,29,25,3,0,0,1
2021,2,"02768",LB3,21,18,2,0,0,1
2021,2,"02769",LB1,26,23,3,0,0,0
2021,2,"02769",LB3,25,20,2,0,2,1
2021,2,"02770",LB1,26,23,1,0,2,0
2021,2,"02770",LB3,32,26,3,0,2,1
2021,2,"02771",LB1,33,25,5,0,1,2
2021,2,"02771",LB3,22,18,3,0,0,1
2021,2,"02772",LB1,32,26,2,0,1,3
2021,2,"02772",LB3,33,26,0,0,1,6
2021,2,"02773",LB1,36,32,3,0,0,1
2021,2,"02773",LB3,37,31,0,0,0,6
2021,2,"02774",LB1,27,23,4,0,0,0
2021,2,"02774",LB3,28,22,1,0,1,4
2021,2,"02775",LB1,49,44,2,0,1,2
2021,2,"02775",LB3,40,31,1,0,1,7
2021,2,"02791","01",2,1,1,0,0,0
2021,2,"02792","01",3,1,2,0,0,0
2021,2,"03107",CC3,12,10,0,0,2,0
2021,2,"03205",CC1,12,9,0,0,1,2
2021,2,"03556","03",1,1,0,0,0,0
2021,2,"03556",SD3,5,1,0,0,4,0
2021,2,"03558",CC3,34,24,8,0,1,1
2021,2,"03561",CC1,25,17,5,0,2,1
2021,2,"03563",CC1,26,16,7,0,2,1
2021,2,"03565",CC3,18,12,3,0,3,0
2021,2,"03566",CC3,23,20,1,0,0,2
2021,2,"03569",CC3,34,26,6,0,0,2
2021,2,"03571",CC1,24,17,4,0,2,1
2021,2,"03574",CC3,13,10,2,0,1,0
2021,2,"03575",CC1,14,11,1,0,1,1
2021,2,"03579",CC3,21,16,1,0,2,2
2021,2,"03583",CC3,16,13,1,0,1,1
2021,2,"03592",CC1,7,6,0,0,0,1
2021,2,"03594",CC1,23,16,1,0,3,3
2021,2,"03597",CC3,19,14,1,0,1,3
2021,2,"03599",CC3,39,28,7,0,0,4
2021,2,"03603","01",1,1,0,0,0,0
2021,2,"03604","01",1,0,1,0,0,0
2021,2,"03605",CC3,44,30,9,0,1,4
2021,2,"03606",CC1,27,15,5,0,2,5
2021,2,"03607",CC1,28,16,6,0,3,3
2021,2,"03608",CC1,32,22,6,0,1,3
2021,2,"03609",CC1,26,16,6,0,2,2
2021,2,"03610",CC3,13,10,2,0,1,0
2021,2,"03611",CC3,14,13,0,0,0,1
2021,2,"03612",CC3,19,16,3,0,0,0
2021,2,"03613",CC1,20,15,3,0,0,2
2021,2,"03614",CC1,15,13,1,0,0,1
2021,2,"03615",CC1,9,6,2,0,1,0
2021,2,"03616",CC3,11,7,2,0,0,2
2021,2,"03618",CC1,16,9,1,0,3,3
2021,2,"03619",CC1,26,15,1,0,4,6
2021,2,"03620",CC3,11,7,1,0,2,1
2021,2,"03621",CC3,23,12,1,0,4,6
2021,2,"03622",CC3,22,16,1,0,4,1
2021,2,"03623",CC1,10,6,1,0,2,1
2021,2,"03625","02",3,3,0,0,0,0
2021,2,"03626","02",4,1,1,0,2,0
2021,2,"03627",CC3,21,16,2,0,2,1
2021,2,"03628",CC1,8,4,0,0,0,4
2021,2,"04103",SF1,9,8,1,0,0,0
2021,2,"04104",SP3,26,18,4,0,0,4
2021,2,"04106",AD1,48,28,13,0,3,4
